priorityScore,id,title,source,publishedAt,language,relevance,eventType,impactDirection,models,reasons,evidenceSentenceIds,symbols,sectors,rationale,url
1,6a2f0a578a1c034887d30823,बचतकर्ताको पैसा जोगाउन खोज्दा देशकै ठूलो बैंकको सीईओ पक्राउ पर्ने कस्तो व्यवस्था ?,बिजनेस – Page 12 – Online Khabar,2026-05-21T15:23:42.000Z,ne,indirect,regulation,uncertain,qwen-qlora,qwen invalid/truncated JSON,S8;S12;S2,,Banking,लेखले बैंकिङ कानुनको कार्यान्वयन र अनुसन्धान निकायको गतिविधिले बैंकिङ क्षेत्रको सुशासन र स्थिरतामा पार्न सक्ने प्रभावको संकेत गर्दछ।,https://www.onlinekhabar.com/2026/05/1936926/what-kind-of-system-is-this-where-the-ceo-of-the-countrys-largest-bank-is-arrested-while-trying-to-protect-savers-money
1,6a2f0a578a1c034887d30824,कोरिया र इजरायल जान छनोटमा नपरेकाहरू किन बारम्बार आन्दोलनमा उत्रिन्छन् ?,बिजनेस – Page 12 – Online Khabar,2026-05-21T15:39:59.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S6;S7,,,"यो समाचार वैदेशिक रोजगारीको प्रक्रिया र श्रमिकहरूको आन्दोलनसँग सम्बन्धित छ, जसको शेयर बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन।",https://www.onlinekhabar.com/2026/05/1936464/why-do-those-who-are-not-selected-to-go-to-korea-and-israel-repeatedly-engage-in-protests
1,6a2f0a578a1c034887d30826,सूचना प्रविधिमा लगानी र डिजिटल पूर्वाधार विस्तार उच्च प्राथमिकतामा : सञ्चारमन्त्री,बिजनेस – Page 11 – Online Khabar,2026-05-22T13:08:27.000Z,ne,indirect,sector_industry,uncertain,qwen-qlora,qwen invalid/truncated JSON,S3;S4;S7;S8,,Others,सरकारले सूचना प्रविधि र डिजिटल पूर्वाधार विस्तारमा लगानी र बजेटको प्राथमिकता दिने योजना बनाएकाले यसले सूचना प्रविधि क्षेत्रको गतिविधि र सेवाको पहुँचमा प्रभाव पार्न सक्छ ।,https://www.onlinekhabar.com/2026/05/1937578/investment-in-information-technology-and-expansion-of-digital-infrastructure-on-high-priority-minister-of-communications
1,6a2f0a578a1c034887d30827,"NEPSE Concludes The Week With 0.97% Gain and Turnover of Rs 17.75 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",ShareSansar,2026-05-24T03:37:00.000Z,en,direct,market_trading,bullish,xlmr-direction,xlmr-direction: bullish->bearish,S1;S5;S9;S10;S15;S16;S14,FMDBL;SABBL,,"The index closed higher for the week and is positioned above its short-term exponential moving averages, which suggests bullish sentiment.",https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-097-gain-and-turnover-of-rs-1775-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2026-05-24
1,6a2f0a578a1c034887d30828,नेपाली आरोही तेन्जिङ डेभिडले गरे ५ दिनमा तीन हिमाल आरोहण,बिजनेस – Page 11 – Online Khabar,2026-05-24T11:15:35.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2,,,"यो समाचार एक पर्वतारोहीको व्यक्तिगत उपलब्धि र एउटा ट्रेकिङ कम्पनीको गतिविधि बारे हो, जसको नेपाल स्टक मार्केट (NEPSE) सँग कुनै प्रत्यक्ष वा अप्रत्यक्ष सम्बन्ध देखिँदैन ।",https://www.onlinekhabar.com/2026/05/1938658/nepali-climber-tenzing-david-climbs-three-mountains-in-5-days
1,6a2f0a578a1c034887d30829,"आलुको भाउ बढ्यो, किलोको कति ?",बिजनेस – Page 11 – Online Khabar,2026-05-25T06:53:16.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S5;S7,,,"यो समाचार कृषिजन्य वस्तु (आलु) को मूल्य वृद्धि बारे मात्र हो, जसको शेयर बजार (NEPSE) मा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन।",https://www.onlinekhabar.com/2026/05/1939016/the-price-of-potatoes-has-increased-how-much-per-kilo-3
1,6a2f0a578a1c034887d3082a,चार दशकदेखि शिक्षामा अग्रणी लिटिल एन्जल्स स्कुल : गुणस्तरीय प्रविधिमैत्री शिक्षा,बिजनेस – Page 11 – Online Khabar,2026-05-25T06:58:51.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2,,,"यो समाचार एउटा निजी विद्यालयको शैक्षिक गुणस्तर र प्रवर्द्धनसँग सम्बन्धित छ, जसको नेप्से बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव छैन।",https://www.onlinekhabar.com/2026/05/1939003/little-angels-school-a-leader-in-education-for-four-decades-quality-technology-friendly-education
1,6a2f0a578a1c034887d3082e,सरकारले तोक्यो बर्खे धानबालीको समर्थन मूल्य,बिजनेस – Page 10 – Online Khabar,2026-05-25T11:11:10.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S4,,,"यो समाचार कृषि क्षेत्रको मूल्य निर्धारणसँग सम्बन्धित छ, जसले नेप्से (NEPSE) को बजार वा सूचीकृत कम्पनीहरूमा प्रभाव पार्ने कुनै ठोस संयन्त्र उल्लेख गरिएको छैन।",https://www.onlinekhabar.com/2026/05/1939277/government-sets-support-price-for-rain-fed-paddy
1,6a2f0a578a1c034887d3082f,कजारिया रमेश टायल्सको अभियान : मिस नेपालसँग ‘डाइन विथ द डिभाज’ सार्वजनिक,बिजनेस – Page 10 – Online Khabar,2026-05-25T12:39:22.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2,,,"यो समाचार कजारिया रमेश टायल्सको एक व्यापारिक प्रवर्द्धन (marketing campaign) सँग सम्बन्धित छ, जसको कुनै प्रत्यक्ष वा अप्रत्यक्ष नेप्से प्रभाव देखिँदैन।",https://www.onlinekhabar.com/2026/05/1939370/kajaria-ramesh-tiles-campaign-dine-with-the-divas-announced-with-miss-nepal
1,6a2f0a578a1c034887d30830,यसरी बन्दैछ एसियन हाइवेको काँकडभिट्टा-लौकही खण्ड (तस्वीरहरू),बिजनेस – Page 10 – Online Khabar,2026-05-26T06:43:20.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S4,,,"यो समाचार राजमार्ग विस्तारको भौतिक प्रगति र निर्माण कम्पनीहरूले भोगिरहेको चुनौतीसँग सम्बन्धित छ, जसले कुनै विशिष्ट सूचीकृत कम्पनी वा सेयर बजारलाई प्रत्यक्ष वा अप्रत्यक्ष रूपमा असर गर्ने ठोस संयन्त्र देखाउँदैन ।",https://www.onlinekhabar.com/2026/05/1939722/this-is-how-the-kakadbhitta-laukahi-section-of-the-asian-highway-is-being-constructed-photos
1,6a2f0a578a1c034887d30832,म्यानपावर व्यवसायीले भने : सरकारले अनुगमनको नाममा छापामार शैली अपनायो,बिजनेस – Page 10 – Online Khabar,2026-05-27T06:59:43.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S4;S5,,,"यो समाचार वैदेशिक रोजगार व्यवसायी र सरकारबीचको नियमन सम्बन्धी विवादसँग सम्बन्धित छ, जसको नेप्सेमा सूचीकृत कुनै पनि कम्पनी वा क्षेत्रसँग प्रत्यक्ष वा अप्रत्यक्ष सम्बन्ध देखिँदैन।",https://www.onlinekhabar.com/2026/05/1940533/manpower-entrepreneur-says-government-adopts-guerrilla-tactics-in-the-name-of-monitoring
1,6a2f0a578a1c034887d30836,"रोह्तो मेन्थोलेटमले बर्दिबासमा फ्याक्ट्री निर्माण गर्ने, भूमिपूजा सम्पन्न",बिजनेस – Page 9 – Online Khabar,2026-05-27T12:11:30.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2,,,"यो समाचार एक निजी कम्पनी (Rohto Mentholatum Nepal Pvt. Ltd.) को फ्याक्ट्री निर्माणसँग सम्बन्धित छ, जसको NEPSE वा सूचीकृत कम्पनीहरूमा कुनै प्रत्यक्ष असर देखिँदैन।",https://www.onlinekhabar.com/2026/05/1940872/rohto-mentholatum-to-build-factory-in-bardibas-ground-breaking-ceremony-completed
1,6a2f0a578a1c034887d30841,श्रम स्वीकृति जारी भइसकेपछि मात्रै विमानस्थल आउन अध्यागमनको अनुरोध,बिजनेस – Page 7 – Online Khabar,2026-05-31T04:48:09.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S4;S7,,,"यो समाचार वैदेशिक रोजगारीमा जाने श्रमिकहरूको प्रशासनिक प्रक्रिया र अध्यागमनको नियमसँग सम्बन्धित छ, जसको नेप्से बजार वा सूचीकृत कम्पनीहरूमा कुनै ठोस प्रभाव देखिँदैन।",https://www.onlinekhabar.com/2026/05/1943326/adhyayans-request-to-come-to-the-airport-only-after-the-work-permit-is-issued
1,6a2f0a578a1c034887d30849,"Upper Syange Hydropower Announces Conclusion of Lock-in Period for Promoters, Project-Affected Area Locals and Employee Shares on Ashadh 21",ShareSansar,2026-06-02T04:42:00.000Z,en,direct,capital_action,uncertain,qwen-qlora,qwen invalid/truncated JSON,S1;S2;S5,USHL,Hydropower,"The expiration of the lock-in period for promoters, residents of the project-affected area, and employees will increase the supply of tradable shares for USHL in the secondary market.",https://www.sharesansar.com/newsdetail/upper-syange-hydropower-announces-conclusion-of-lock-in-period-for-promoters-project-affected-area-locals-and-employee-shares-on-ashadh-21-2026-06-02
1,6a2f0a578a1c034887d3084a,"बजेट २०८३/८४ : कति सुहाउँदो, कति चुनौतीपूर्ण ?",बिजनेस – Page 6 – Online Khabar,2026-06-03T03:41:47.000Z,ne,indirect,fiscal_macroeconomic,uncertain,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S4;S5;S8;S10;S1,,Manufacturing and Processing;Others,"बजेटले औद्योगिक क्षेत्रका लागि भन्सार कटौती र आयकरमा परिमार्जन जस्ता सकारात्मक नीतिहरू ल्याए तापनि, उच्च सार्वजनिक ऋणको भार र कर वृद्धिका कारण आर्थिक वृद्धि र मुद्रास्फीति नियन्त्रण गर्ने लक्ष्य हासिल गर्न चुनौतीपूर्ण देखिएको छ, जसले बजारको समग्र धारणामा मिश्रित प्रभाव पार्न सक्छ।",https://www.onlinekhabar.com/2026/06/1945492/budget-2083-84-how-appropriate-how-challenging
1,6a2f0a578a1c034887d3084c,पोखरामा लेखा शिक्षक कार्यशाला गर्न ब्रिटिस कलेज र एसीसीएबीच सहकार्य,बिजनेस – Page 6 – Online Khabar,2026-06-03T08:37:51.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S3;S4,,,यो समाचार एक शैक्षिक कार्यशालाको बारेमा हो जसले शिक्षकहरूको प्राविधिक क्षमता सुधार गर्ने लक्ष्य राख्दछ र यसको नेप्से बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन।,https://www.onlinekhabar.com/2026/06/1945888/accounting-teacher-workshop-to-be-held-in-pokhara-collaboration-between-british-college-and-acca
1,6a2f0a578a1c034887d3084d,वैदेशिक रोजगार विभागले माग्यो केयर गिभर तालिम लिएका व्यक्तिहरूको विवरण,बिजनेस – Page 6 – Online Khabar,2026-06-03T13:55:02.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S5;S11,,,"यो समाचार वैदेशिक रोजगार र श्रम प्रवजनसँग सम्बन्धित छ, जसको नेपालको शेयर बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन ।",https://www.onlinekhabar.com/2026/06/1946177/department-of-foreign-employment-requests-details-of-people-who-have-undergone-care-giver-training
1,6a31634a8dd189ed627e358f,SEBON Adds Another IPO Shares of Two Hydropower Companies to It's Pipeline,ShareSansar,2026-06-05T08:02:00.000Z,en,direct,regulation,uncertain,qwen-qlora,qwen invalid/truncated JSON,S1;S2;S3,,Hydropower,"The selected evidence reports a regulatory or policy change affecting listed securities, issuance, or market access. This makes the record direct to NEPSE and supports the regulation label through the regulatory mechanism.",https://www.sharesansar.com/newsdetail/sebon-adds-another-ipo-shares-of-two-hydropower-companies-to-its-pipeline-2026-06-05
1,6a2f0a578a1c034887d30856,Nepse slips as post-budget rally loses momentum,The Kathmandu Post - Money,2026-06-06T00:00:00.000Z,en,direct,market_trading,bearish,qwen-qlora,qwen invalid/truncated JSON,S1;S2;S3;S7;S8;S6,,Others,"The market decline is driven by investor profit-booking and a ""buy the rumour, sell the fact"" pattern following the federal budget announcement, which also led to a slowdown in liquidity and trading activity.",https://kathmandupost.com/money/2026/06/06/nepse-slips-as-post-budget-rally-loses-momentum
1,6a2f0a578a1c034887d30857,पछिल्लो पाँच महिनामा प्रोटोनले बेच्यो ८४ हजारभन्दा बढी गाडी,बिजनेस – Page 5 – Online Khabar,2026-06-06T11:27:01.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S10,,,"यो समाचार प्रोटोन ब्रान्डको बिक्री विवरण र नेपालमा यसको वितरक जगदम्बा मोटर्स प्रालि (निजी कम्पनी) का बारेमा मात्र केन्द्रित छ, जसले शेयर बजारमा प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पार्ने कुनै स्पष्ट संयन्त्र देखाउँदैन।",https://www.onlinekhabar.com/2026/06/1948159/proton-has-sold-more-than-84000-vehicles-in-the-last-five-months
1,6a2f0a578a1c034887d30858,"NEPSE Concludes The Week With 0.96% Loss and Turnover of Rs 26.94 Arba; Weekly Summary with Sector Comparison, Major Highlights, and More",ShareSansar,2026-06-07T03:13:00.000Z,en,direct,market_trading,bearish,qwen-qlora,qwen invalid/truncated JSON,S1;S5;S8;S9;S10;S16,FMDBL;SKHL,,"The week ended with a decline in the NEPSE index, and technical indicators such as the MACD being below zero and the index trading below its exponential moving averages suggest bearish sentiment.",https://www.sharesansar.com/newsdetail/nepse-concludes-the-week-with-096-loss-and-turnover-of-rs-2694-arba-weekly-summary-with-sector-comparison-major-highlights-and-more-2026-06-07
1,6a2f0a578a1c034887d30859,प्रभु बैंकद्वारा अन्नपूर्ण माविलाई स्मार्ट बोर्ड हस्तान्तरण,बिजनेस – Page 4 – Online Khabar,2026-06-07T05:48:31.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2,,,"यो समाचार प्रभु बैंकको संस्थागत सामाजिक उत्तरदायित्व (CSR) अन्तर्गतको शैक्षिक सहयोगसँग सम्बन्धित छ, जसको कम्पनीको वित्तीय अवस्था वा बजार मूल्यमा प्रत्यक्ष असर पर्ने कुनै संयन्त्र देखिँदैन।",https://www.onlinekhabar.com/2026/06/1948409/prabhu-bank-hands-over-smart-boards-to-annapurna-secondary-school
1,6a2f0a578a1c034887d3085f,अन्तर्राष्ट्रिय श्रम सम्मेलनमा नेपालको प्रतिबद्धता : आन्तरिक रोजगारी प्रवर्द्धनदेखि सुरक्षित आप्रवासनसम्म,बिजनेस – Page 4 – Online Khabar,2026-06-08T13:38:47.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S3;S7;S9,,,"यो समाचार नेपालको श्रम नीति, आप्रवासन र डिजिटल अर्थतन्त्रको विकाससँग सम्बन्धित छ। यसले नेप्सेको बजार वा कुनै सूचीकृत कम्पनीको वित्तीय अवस्थामा प्रत्यक्ष वा अप्रत्यक्ष असर पार्ने कुनै पनि ठोस बजार संयन्त्र (market mechanism) उल्लेख गर्दैन।",https://www.onlinekhabar.com/2026/06/1949689/nepals-commitment-to-the-international-labor-conference-from-promoting-domestic-employment-to-safe-migration
1,6a2f0a578a1c034887d30862,नबिल बैंक र धुलिखेल अस्पतालबीच स्वास्थ्य सेवा सुदृढ गर्ने साझेदारी,बिजनेस – Page 3 – Online Khabar,2026-06-09T07:06:18.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S6,,,"यो समाचार नबिल बैंकको सामाजिक उत्तरदायित्व (CSR) अन्तर्गतको क्रियाकलापसँग सम्बन्धित छ, जसले बैंकको वित्तीय अवस्था वा नेप्से बजारको संयन्त्रमा कुनै प्रत्यक्ष प्रभाव पार्दैन।",https://www.onlinekhabar.com/2026/06/1950082/nabil-bank-and-dhulikhel-hospital-partner-to-strengthen-healthcare-services
1,6a2f0a578a1c034887d30864,"विराटनगर विमानस्थलमा १०० रुपैयाँ पर्ने चकलेटको मूल्य २०० रुपैयाँ, ४ क्याफेलाई जरिवाना",बिजनेस – Page 3 – Online Khabar,2026-06-10T04:30:45.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S4;S7;S11,,,"यो समाचार स्थानीय प्रशासनले विराटनगर विमानस्थलका केही साना होटल र क्याफेलाई गरेको कारबाहीसँग सम्बन्धित छ, जसको NEPSE वा सूचीकृत कम्पनीहरूमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन ।",https://www.onlinekhabar.com/2026/06/1950723/chocolate-priced-at-rs-100-at-biratnagar-airport-costs-rs-200-4-cafes-fined
1,6a2f0a578a1c034887d30867,"NEPSE Records Single Digit Loss of 8.14 Points, Closes at 2,728.03",ShareSansar,2026-06-11T09:42:00.000Z,en,direct,market_trading,bearish,qwen-qlora,qwen invalid/truncated JSON,S1;S5;S9;S13;S15;S17;S10;S14,CITY;SOPL;SAPDBL,Hotels and Tourism;Finance;Development Bank;Manufacturing and Processing,"The market index saw a marginal decrease, driven by sectoral movements and individual stock performances.",https://www.sharesansar.com/newsdetail/nepse-records-single-digit-loss-of-814-points-closes-at-272803-2026-06-11
1,6a2f0a578a1c034887d30868,"धान रोपाइँमा मलको पिरलो नहुने कृषिमन्त्रीको आश्वासन, अपचलन रोक्न डिजिटल निगरानी",बिजनेस – Page 2 – Online Khabar,2026-06-11T11:57:11.000Z,ne,not_relevant,not_applicable,not_applicable,qwen-qlora,qwen invalid/truncated JSON,S2;S4,,,"यो समाचार कृषि क्षेत्रको प्रशासनिक र व्यवस्थापकीय सुधारसँग सम्बन्धित छ, जसले शेयर बजारमा प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पार्ने कुनै संयन्त्र देखिँदैन।",https://www.onlinekhabar.com/2026/06/1951824/agriculture-minister-assures-that-there-will-be-no-waste-of-fertilizer-in-rice-planting-digital-monitoring-to-prevent-misuse
1,6a2f0a578a1c034887d3086b,"NEPSE Falls by Single Digit, Closes at 2,724.03, CFCL Topped the Turnover Chart",ShareSansar,2026-06-12T09:54:00.000Z,en,direct,market_trading,bearish,qwen-qlora,qwen invalid/truncated JSON,S1;S5;S9;S11;S15;S17;S19;S10,CFCL;SOPL;KHPL,Finance;Manufacturing and Processing;Hydropower;Mutual Fund,"The document reports on the daily trading activity of NEPSE, including index movement, total turnover, specific stock performance, and sector-wise trends.",https://www.sharesansar.com/newsdetail/nepse-falls-by-single-digit-closes-at-272403-cfcl-topped-the-turnover-chart-2026-06-12
